CHARGE CODE;rate_final;TIPO DE RENTA
FRIROTT_021;55.08;
FRIROTT_022;55.08;
FRIROTT_023;25.34;
FRIROTT_024;25.34;
FRIROTT_025;59.32;
FRIROTT_026;59.32;
FRIROTT_027;46.61;
FRIROTT_028;46.61;
FRIROTT_029;59.32;
FRIROTT_030;59.32;
FRIROTT_031;46.61;
FRIROTT_032;46.61;
FRIROTT_033;80.51;
FRIROTT_034;80.51;
FRIROTT_035;80.51;
FRIROTT_036;80.51;
FRIROTT_037;101.69;
FRIROTT_038;101.69;
FRIROTT_039;25.42;
FRIROTT_040;25.42;
FRIRPL_001;0;ADELANTADA
FRIRPL_002;0;ADELANTADA
FRIRPL_003;0;ADELANTADA
FRIRPL_004;0;ADELANTADA
FRIRPL_005;0;ADELANTADA
FRIRPL_005;10.17;ADELANTADA
FRIRPL_005;12.71;ADELANTADA
FRIRPL_005;8.47;ADELANTADA
FRIRPL_006;0;VENCIDA
FRIRPL_008;0;VENCIDA
FRIRPL_009;0;VENCIDA
FRIRPL_010;0;ADELANTADA
FRIRPL_011;0;ADELANTADA
FRIRPL_012;0;ADELANTADA
FRIRPL_013;0;VENCIDA
FRIRPL_014;0;ADELANTADA
FRIRPL_015;0;ADELANTADA
FRIRPL_016;0;ADELANTADA
FRIRRE_001;33.9;
FRIRRE_002;67.8;
FRIRRE_003;84.75;
FRIRRE_004;127.12;
FRIRRE_005;8.47;
FRIRRE_006;16.95;
FRIRRE_007;25.42;
FRIRRE_008;42.37;
FRIRRE_009;33.9;
FRIRRE_010;76.27;
FRIRRE_011;50.85;
FRIRRE_012;50.85;
FRIRRE_013;101.69;
FRIRRE_014;127.12;
FRIRRE_015;8.48;
FRIRRE_016;8.48;
FRIRRE_017;25.42;
FRIRRE_018;33.9;
FRIRRE_020;67.8;
FRIRRE_021;16.95;
FRIRRE_022;42.37;
FRIRRE_023;42.37;
FRIRRE_024;59.32;
FRIRRE_025;59.32;
FRIRRE_026;67.8;
FRIRRE_027;67.8;
FRIRRE_028;84.75;
FRIRRE_029;84.75;
FRIRRE_030;101.7;
FRIRRE_031;84.75;
FRIRRE_032;8.47;
FRIRRE_033;8.47;
FRIRRE_034;8.47;
FRIRRE_035;16.95;
FRIRRE_036;25.42;
FRIRRE_037;25.42;
FRIRRE_038;33.9;
FRIRRE_039;33.9;
FRIRRE_040;42.37;
FRIRRE_041;50.85;
FRIRRE_042;50.85;
FRIRRE_043;67.8;
FRIRRE_044;76.27;
FRIRRE_045;76.27;
FRIRRE_046;3.31;
FRIRRE_047;13.47;
FRIRRE_048;5.08;
FRIRRE_049;5.85;
FRIRRE_050;9.24;
FRIRRE_051;9.32;
FRIRRE_052;16.95;
FRIRRE_053;25.42;
FRIRRE_054;25.42;
FRIRRE_055;33.9;
FRIRRE_056;33.9;
FRIRRE_057;42.37;
FRIRRE_058;42.37;
FRIRRE_059;42.37;
FRIRRE_060;50.85;
FRIRRE_061;59.32;
FRIRRE_062;67.8;
FRIRRE_063;76.27;
FRIRRE_064;84.75;
FRIRRE_065;21.19;
FRIRRE_065;42.37;
FRIRRE_066;29.66;
FRIRRE_067;38.14;
FRIRRE_068;67.8;
FRIRRE_069;76.27;
FRIRRE_070;29.66;
FRIRRE_071;33.9;
FRIRRE_072;25;
FRIRRE_073;25;
FRIRRE_074;50;
FRIRRE_075;50;
FRIRRE_076;70;
FRIRRE_077;95;
FRIRRE_081;10;
FRIRRE_082;10;
FRIRRE_083;70;
FRIRRE_084;95;
FRIRRE_085;2.63;
FRIRRE_086;2.63;
FRIRRE_087;3.47;
FRIRRE_088;3.47;
FRIRRE_089;4.24;
FRIRRE_090;4.24;
FRIRRE_091;5.17;
FRIRRE_092;5.17;
FRIRRE_093;6.86;
FRIRRE_094;6.86;
FRIRRE_095;7.71;
FRIRRE_096;7.71;
FRIRRE_097;9.41;
FRIRRE_098;9.41;
FRIRRE_099;11.95;
FRIRRE_100;11.95;
FRIRRE_101;22.88;
FRIRRE_102;2.63;
FRIRRE_103;5.17;
FRIRRE_104;9.41;
FRIRRE_105;16.95;
FRIRRE_106;16.95;
FRIRRE_107;33.9;
FRIRRE_108;63.56;
FRIRRE_109;1.78;
FRIRRE_110;3.47;
FRIRRE_111;6.86;
FRIRRE_112;7.71;
FRIRRE_113;8.56;
FRIRRE_114;11.95;
FRIRRE_115;12.8;
FRIRRE_116;2.63;
FRIRRE_117;5.17;
FRIRRE_118;0.77;
FRIRRE_119;3.31;
FRIRRE_120;5.01;
FRIRRE_121;5.08;
FRIRRE_122;5.85;
FRIRRE_123;6.54;
FRIRRE_124;6.69;
FRIRRE_125;6.78;
FRIRRE_126;7.11;
FRIRRE_127;7.54;
FRIRRE_128;7.63;
FRIRRE_129;7.96;
FRIRRE_130;8.4;
FRIRRE_131;8.81;
FRIRRE_132;9.24;
FRIRRE_133;10.08;
FRIRRE_134;10.17;
FRIRRE_135;10.93;
FRIRRE_136;11.78;
FRIRRE_137;12.64;
FRIRRE_138;16.95;
FRIRRE_139;33.9;
FRIRRE_140;42.37;
FRIRRE_141;50.85;
FRIRRE_142;67.8;
FRIRRE_143;84.75;
FRIRRE_144;127.12;
FRIRRE_145;169.49;
FRIRRE_146;211.86;
FRIRRE_147;16.95;
FRIRRE_148;33.9;
FRIRRE_149;42.37;
FRIRRE_150;50.85;
FRIRRE_151;67.8;
FRIRRE_152;84.75;
FRIRRE_153;127.12;
FRIRRE_154;169.49;
FRIRRE_155;211.86;
FRIRRE_156;72.03;
FRIRRE_157;16.95;
FRIRRE_158;33.9;
FRIRRE_159;67.8;
FRIRRE_160;100;
FRIRRE_161;8.48;
FRIRRE_162;16.95;
FRIRRE_163;5.08;
FRIRRE_164;12.71;
FRIRRE_165;50;
FRIRRE_166;16.95;
FRIRRE_167;33.9;
FRIRRE_168;42.37;
FRIRRE_169;50.85;
FRIRRE_170;67.8;
FRIRRE_171;84.75;
FRIRRE_172;127.12;
FRIRRE_173;169.49;
FRIRRE_174;211.87;
FRIRRE_175;50;
FRIRRE_176;50;
FRIRRE_177;20;
FRIRRE_178;30;
FRIRRE_179;40;
FRIRRE_180;20;
FRIRRE_181;30;
FRIRRE_182;40;
FRIRRE_183;50;
FRIRRE_184;50;
FRIRRE_185;50;
FRIRRE_186;10;
FRIRRE_187;10;
FRIRRE_188;20;
FRIRRE_189;30;
FRIRRE_190;40;
FRIRRE_191;50;
FRIRRE_192;20;
FRIRRE_193;30;
FRIRRE_194;40;
FRIRRE_195;50;
FRIRRE_196;50;
FRIRRE_197;50;
FRIRRE_198;67.8;
FRIRRE_199;67.8;
FRIRRE_200;67.8;
FRIRRE_201;33.9;
FRIRRE_202;33.9;
FRIRRE_203;16.95;
FRIRRE_204;16.95;
FRIRRE_205;67.8;
FRIRRE_206;67.8;
FRIRRE_207;67.8;
FRIRRE_208;67.8;
FRIRRE_209;33.9;
FRIRRE_210;33.9;
FRIRRE_211;16.95;
FRIRRE_212;16.95;
FRIRRE_213;33.9;
FRIRRE_214;20;
FRIRRE_215;30;
FRIRRE_216;40;
FRIRRE_217;20;
FRIRRE_218;30;
FRIRRE_219;40;
FRIRRE_220;10;
FRIRRE_221;15;
FRIRRE_222;20;
FRIRRE_223;25;
FRIRRE_224;20;
FRIRRE_225;30;
FRIRRE_226;40;
FRIRRE_227;20;
FRIRRE_228;30;
FRIRRE_229;40;
FRIRRE_230;100;
FRIRRE_231;100;
FRIRRE_232;100;
FRIRRE_233;100;
FRIRRE_234;50;
FRIRRE_235;50;
FRIRRE_236;100;
FRIRRE_237;50;
FRIRRE_238;50;
FRIRRE_239;100;
FRIRRE_240;50;
FRIRRE_241;50;
FRIRRE_242;100;
FRIRRE_243;50;
FRIRRE_244;50;
FRIRRE_245;100;
FRIRRE_246;100;
FRIRRE_247;46.61;
FRIRRE_248;46.61;
FRIRRE_249;100;
FRIRRE_250;100;
FRIRRE_251;100;
FRIRRE_252;100;
FRIRRE_253;100;
FRIRRE_254;100;
FRIRRE_255;16.95;
FRIRRE_256;16.95;
FRIRRE_257;46.61;
FRIRRE_258;25.42;
FRIRRE_259;25.42;
FRIRRE_260;27.54;
FRIRRE_261;33.9;
FRIRRE_262;42.37;
FRIRRE_263;27.54;
FRIRRE_264;33.9;
FRIRRE_265;42.37;
FRIRRE_266;33.9;
FRIRRE_267;33.9;
FRIRRE_268;33.9;
FRIRRE_269;33.9;
FRIRRE_270;33.9;
FRIRRE_271;25.42;
FRIRRE_272;8.47;
FRIRRE_273;8.47;
FRIRRE_274;8.47;
FRIRRE_275;8.47;
FRIRRE_276;16.95;
FRIRRE_277;16.95;
FRIRRE_278;16.95;
FRIRRE_279;16.95;
FRIRRE_280;100;
FRIRRE_281;100;
FRIRRE_282;10;
FRIRRE_283;15;
FRIRRE_284;20;
FRIRRE_285;25;
FRIRRE_286;25;
FRIRRE_287;50;
FRIRRE_288;50;
FRIRRE_289;70;
FRIRRE_290;16.95;
FRIRRE_290;17.03;
FRIRRE_291;16.95;
FRIRRE_291;17.03;
FRIRRE_292;100;
FRIRRE_293;100;
FRIRSA_001;9.16;
FRIRSA_001;9.24;
FRIRSA_002;9.24;
FRIRSA_003;9.24;
FRIRSA_004;12.63;
FRIRSA_005;50.76;
FRIRSBBD_001;100;
FRIRSBBD_002;100;
FRIRSBBD_003;100;
FRIRSBBD_004;100;
FRIRSBBD_005;100;
FRIRSBBD_006;100;
FRIRSBBD_007;100;
FRIRSBBD_008;100;
FRIRSBBD_009;100;
FRIRSBBD_010;100;
FRIRSBBD_011;100;
FRIRSBBD_012;100;
FRIRSBBD_013;100;
FRIRSBBD_014;100;
FRIRSBBD_015;100;
FRIRSBBD_016;100;
FRIRSBBD_017;100;
FRIRSBBD_018;100;
FRIRSBBD_019;100;
FRIRSBBD_020;100;
FRIRSBBD_021;100;
FRIRSBBD_022;100;
FRIRSBBD_023;100;
FRIRSBBD_024;100;
FRIRSBBD_025;100;
FRIRSBBD_026;100;
FRIRSBBD_027;100;
FRIRSBBD_028;100;
FRIRSBBD_029;100;
FRIRSBBD_030;100;
FRIRSBBD_031;100;
FRIRSBBD_032;100;
FRIRSBBD_033;100;
FRIRSBBD_034;100;
FRIRSBBD_035;100;
FRIRSBBD_036;100;
FRIRSBBD_037;100;
FRIRSBBD_038;100;
FRIRSBBD_039;100;
FRIRSBBD_040;100;
FRIRSBBD_041;100;
FRIRSBBD_042;100;
FRIRSBBD_043;100;
FRIRSBBD_044;100;
FRIRSBBD_045;100;
FRIRSBBD_046;100;
FRIRSBBD_047;100;
FRIRSBBD_048;100;
FRIRSBBD_049;100;
FRIRSBBD_050;100;
FRIRSBBD_051;100;
FRIRSBBD_052;100;
FRIRSBBD_053;100;
FRIRSBBD_054;100;
FRIRSBBD_055;100;
FRIRSBBD_056;100;
FRIRSBBD_057;100;
FRIRSBBD_058;100;
FRIRSBBD_059;100;
FRIRSBBD_060;100;
FRIRSBBD_061;100;
FRIRSBBD_062;100;
FRIRSBBD_063;100;
FRIRSBBD_064;100;
FRIRSBBD_065;100;
FRIRSBBD_066;100;
FRIRSBBD_067;100;
FRIRSBBD_068;100;
FRIRSBBD_069;100;
FRIRSBBD_070;100;
FRIRSBBD_071;100;
FRIRSBBD_072;100;
FRIRSBBD_073;100;
FRIRSBBD_074;100;
FRIRSBBD_075;100;
FRIRSBBD_076;100;
FRIRSBBD_077;100;
FRIRSBBD_078;100;
FRIRSBBD_079;100;
FRIRSBBD_080;100;
FRIRSBBD_081;100;
FRIRSBBD_082;100;
FRIRSBBD_083;100;
FRIRSBBD_084;100;
FRIRSBBD_085;100;
FRIRSBBD_086;100;
FRIRSBBD_087;100;
FRIRSBBD_088;100;
FRIRSBBD_089;100;
FRIRSBBD_090;100;
FRIRSBBD_091;100;
FRIRSBBD_092;100;
FRIRSBBD_093;100;
FRIRSBBD_101;100;
FRIRSBBD_102;100;
FRIRSBBD_103;100;
FRIRSBBD_104;100;
FRIRSBBD_105;100;
FRIRSBBD_106;100;
FRIRSBBD_107;100;
FRIRSBBD_108;100;
FRIRSBBD_109;100;
FRIRSBBD_110;100;
FRIRSBBD_111;100;
FRIRSBBD_112;100;
FRIRSBBD_113;100;
FRIRSBBD_114;100;
FRIRSBBD_115;100;
FRIRSBBD_116;100;
FRIRSBBD_117;100;
FRIRSBBD_118;100;
FRIRSBBD_119;100;
FRIRSBBD_120;100;
FRIRSBBD_121;100;
FRIRSBBD_122;100;
FRIRSBBD_123;100;
FRIRSBBD_127;100;
FRIRSBBD_128;100;
FRIRSBBD_129;100;
FRIRSBBD_130;100;
FRIRSBBD_131;100;
FRIRSBBD_132;100;
FRIRSBBD_133;100;
FRIRSBBD_134;100;
FRIRSBBD_135;100;
FRIRSBBD_136;100;
FRIRSBBD_137;100;
FRIRSBBD_138;100;
FRIRSBBD_139;100;
FRIRSBBM_001;120;
FRIRSBBM_002;200;
FRIRSBBM_003;30;
FRIRSBBM_004;80;
FRIRSBBM_005;120;
FRIRSBBM_006;120;
FRIRSBBM_007;200;
FRIRSBBM_008;60;
FRIRSBBM_009;200;
FRIRSBBM_010;30;
FRIRSBBM_011;30;
FRIRSBBM_012;16;
FRIRSBBM_013;2;
FRIRSBBM_014;4;
FRIRSBBM_015;8;
FRIRSBBM_016;45;
FRIRSBBM_017;80;
FRIRSBBM_018;120;
FRIRSBBM_019;200;
FRIRSBBM_020;60;
FRIRSBBM_021;20;
FRIRSBBM_022;30;
FRIRSBBM_023;50;
FRIRSBBM_024;100;
FRIRSBBM_025;150;
FRIRSBBM_026;500;
FRIRSBBM_027;1000;
FRIRSBBM_028;2;
FRIRSBBM_029;4;
FRIRSBBM_030;6;
FRIRSBBM_031;8;
FRIRSBBM_032;10;
FRIRSBBM_033;12;
FRIRSBBM_034;15;
FRIRSBBM_035;20;
FRIRSBBM_036;30;
FRIRSBBM_037;40;
FRIRSBBM_038;60;
FRIRSBBM_039;80;
FRIRSBBM_040;120;
FRIRSBBM_041;150;
FRIRSBBM_042;200;
FRIRSBBM_043;50;
FRIRSBBM_044;100;
FRIRSBBM_045;100;
FRIRSBBM_046;150;
FRIRSBBM_047;240;
FRIRSBBM_048;38.05;
FRIRSBBM_049;32.12;
FRIRSBBM_050;32.12;
FRIRSBBM_051;42.29;
FRIRSBBM_051;47.37;
FRIRSBBM_052;32.12;
FRIRSBBM_052;38.05;
FRIRSBBM_053;38.05;
FRIRSBBM_054;372.8;
FRIRSBBM_055;101.61;
FRIRSBBM_056;59.24;
FRIRSBBM_057;372.8;
FRIRSBBM_058;372.8;
FRIRSBBM_059;203.39;
FRIRSBBM_060;203.39;
FRIRSBBM_061;101.61;
FRIRSBBM_062;101.61;
FRIRSBBM_063;124.26;
FRIRSBBM_064;372.8;
FRIRSBBM_065;101.61;
FRIRSBBM_066;101.61;
FRIRSBBM_067;429.66;
FRIRSBBM_068;372.8;
FRIRSBBM_069;372.8;
FRIRSBBM_070;47.37;
FRIRSBBM_071;38.05;
FRIRSBBM_072;32.12;
FRIRSBBM_073;101.61;
FRIRSBBM_074;101.61;
FRIRSBBM_075;101.61;
FRIRSBBM_076;429.66;
FRIRSBBM_077;372.8;
FRIRSBBM_078;372.8;
FRIRSBBM_079;101.61;
FRIRSBBM_080;101.61;
FRIRSBBM_081;101.61;
FRIRSBBM_082;429.66;
FRIRSBBM_083;372.8;
FRIRSBBM_084;372.8;
FRIRSBBM_085;101.61;
FRIRSBBM_086;101.61;
FRIRSBBM_087;101.61;
FRIRSBBM_088;7.63;
FRIRSBBM_089;47.37;
FRIRSBBM_090;338.9;
FRIRSBBM_091;16.94;
FRIRSBBM_092;16.94;
FRIRSBBM_093;42.29;
FRIRSBBM_101;38.05;
FRIRSBBM_102;32.12;
FRIRSBBM_103;338.9;
FRIRSBBM_104;84.66;
FRIRSBBM_105;30;
FRIRSBBM_106;30;
FRIRSBBM_107;40;
FRIRSBBM_108;67.71;
FRIRSBBM_109;12.71;
FRIRSBBM_110;203.31;
FRIRSBBM_111;160.93;
FRIRSBBM_112;143.98;
FRIRSBBM_113;203.31;
FRIRSBBM_114;203.31;
FRIRSBBM_115;160.93;
FRIRSBBM_116;143.98;
FRIRSBBM_117;143.98;
FRIRSBBM_118;160.93;
FRIRSBBM_119;143.98;
FRIRSBBM_120;29.66;
FRIRSBBM_121;29.66;
FRIRSBBM_122;38.9;
FRIRSBBM_123;38.9;
FRIRSBBM_124;568.47;
FRIRSBBM_125;568.47;
FRIRSBBM_126;568.47;
FRIRSBBM_127;110.08;
FRIRSBBM_128;7.63;
FRIRSBBM_129;110.08;
FRIRSBBM_130;110.08;
FRIRSBBM_131;110.08;
FRIRSBBM_132;127.03;
FRIRSBBM_133;127.03;
FRIRSBBM_134;76.19;
FRIRSBBM_135;20.25;
FRIRSBBM_136;30.42;
FRIRSBBM_137;20.25;
FRIRSBBM_138;12.71;
FRIRSBBM_139;192;
FRIRSV_001;67.22;
FRIRSV_002;142.01;
FRIRSV_003;299.15;
FRIRSV_004;0;
FRIRSV_005;0;
FRIRSV_006;0;
FRMROTT_001;8.47;
FRMROTT_002;8.47;
FRMROTT_003;38.05;
FRMROTT_005;32.12;
FRMROTT_007;8.47;
FRMROTT_009;29.66;
FRMROTT_010;29.66;
FRTFBB_001;25.42;
FRTFBB_002;42.37;
FRTFBB_003;16.95;
FRTFBB_004;16.95;
FRTFBB_005;25.42;
FRTFBB_006;12.71;
FRTFBB_007;42.37;
FRTFBB_008;38.13;
FRTFBB_009;21.19;
FRTFBB_010;33.9;
FRTFBB_011;76.27;
FRTFBB_012;152.54;
FRTFBB_013;83.19;
FRTOCH_001;61;
FRTOCH_002;61;
FRTOCH_003;61;
FRTOCH_004;61;
FRTOCH_005;101.69;
FRTOCH_006;169.49;
FRTOCH_007;101.69;
FRTOCH_008;169.49;
FRTOCHBM_007;309.6;
FRTOEQ_002;84.75;
FRTOEQ_003;127.12;
FRTOEQ_004;127.12;
FRTOEQ_005;84.75;
FRTOPL_001;300.85;
FRTOPL_001;385.63;
FRTOPL_001;427.97;
FRTOPL_001;470.34;
FRTOPL_001;470.37;
FRTOPL_001;592.37;
FRTOPL_002;131.36;
FRTOPL_002;258.47;
FRTOPL_002;300.85;
FRTOPL_002;385.63;
FRTOPL_002;470.37;
FRTOPL_003;0;
FRTOPL_004;507.63;
FRTOPL_004;592.37;
FRTOPL_005;507.63;
FRTORX_001;3.88;
FRTORX_002;3.88;
FRTOSE_001;101.69;
FRTOSV_001;28.56;
FRTOSV_002;28.56;
FRTOSV_003;30.16;
FRTOSV_004;7.9;
